City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
651,Khorixas,,83.7,-20.3667,14.9667,Khorixas Lodge
655,Saint-Pierre,RE,83.91,-21.3393,55.4781,Lindsey Hôtel
658,Garoua,CM,96.15,9.3,13.4,Dreamland Hotel Annexe Bockle
661,Chabahar,IR,86.27,25.2919,60.643,هتل گدروشیا
663,Gorom-Gorom,BF,95.22,14.4439,-0.2361,
664,Zima,RU,75.31,53.9202,102.0442,"""Na Uglu"""
666,Quang Ngai,VN,76.42,15.1167,108.8,Central Hotel
667,Nabire,ID,80.06,-3.3667,135.4833,Hotel Nusantara I
670,Linaon,PH,85.15,9.9499,122.4483,Emoha Dive Resort
680,Bontang,ID,83.95,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
681,Lafia,NG,87.84,8.4833,8.5167,Low Cost Housing Estate
682,Hobyo,SO,91.17,5.3505,48.5268,Iftin hotel hobyo
694,Port Moresby,PG,81.82,-9.4431,147.1797,Lamana Hotel (Port Moresby)
695,Kirakira,SB,80.15,-10.4544,161.9205,SanBiz Lodge
699,Sola,VU,75.87,-13.8833,167.55,Leumerus Bungalows
700,Sangmelima,CM,80.42,2.9333,11.9833,gamestar hotel
705,Sawang Daen Din,TH,83.1,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
